Timestamp,Full Name,Email Address,Control Number,Invoice Amount,Please enter your requested invoice amount,Consent/Authorization
5/1/2026 10:15:01,Adam Standard,adam@example.com,CT-0001,$150 — Standard Facilities Utility Drive Contribution,,Yes
5/1/2026 10:17:33,Brian Sustaining,brian@example.com,CT-0002,$300 — Sustaining Supporter,,I agree
5/1/2026 11:02:14,Carl Champion,carl@example.com,CT-0003,$500 — Facility Champion,,Yes
5/1/2026 11:30:00,Devon Other,devon@example.com,CT-0004,Other:,75,Yes
5/1/2026 12:00:00,Eli NoConsent,eli@example.com,CT-0005,$150 — Standard Facilities Utility Drive Contribution,,
5/1/2026 12:05:00,Frank BadAmount,frank@example.com,CT-0006,Other:,-10,Yes
5/1/2026 12:10:00,Greg Duplicate,greg@example.com,CT-0007,$150 — Standard Facilities Utility Drive Contribution,,Yes
5/1/2026 13:45:00,Greg Duplicate,greg@example.com,CT-0007,$300 — Sustaining Supporter,,Yes
5/1/2026 14:00:00,Hank Unknown,hank@example.com,CT-9999,$150 — Standard Facilities Utility Drive Contribution,,Yes
5/1/2026 14:10:00,Ivan NoQBO,ivan@example.com,CT-0008,$500 — Facility Champion,,Yes
